building type,Height (inches),Height (inches),Interstory Drift at Threshold of Damage State,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0
,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1
,Roof,Modal,Slight,Moderate,Extensive,Complete,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete,Unnamed: 15_level_2,Unnamed: 16_level_2,Unnamed: 17_level_2,Unnamed: 18_level_2,Unnamed: 19_level_2,Unnamed: 20_level_2
W1 													,168.0,126.0,0.004,0.012,0.04,0.1,0.5,0.8,1.51,0.81,5.04,0.85,12.6,0.97,,,,,,
W2 													,288.0,216.0,0.004,0.012,0.04,0.1,0.86,0.81,2.59,0.88,8.64,0.9,21.6,0.83,,,,,,
S1L 													,288.0,216.0,0.006,0.012,0.03,0.08,1.3,0.8,2.59,0.76,6.48,0.69,17.28,0.72,,,,,,
S1M 													,720.0,540.0,0.004,0.008,0.02,0.0533,2.16,0.65,4.32,0.66,10.8,0.67,28.8,0.74,,,,,,
S1H 													,1872.0,1123.0,0.003,0.006,0.015,0.04,3.37,0.64,6.74,0.64,16.85,0.65,44.93,0.67,,,,,,
S2L 													,288.0,216.0,0.005,0.01,0.03,0.08,1.08,0.81,2.16,0.89,6.48,0.94,17.28,0.83,,,,,,
S2M 													,720.0,540.0,0.0033,0.0067,0.02,0.0533,1.8,0.67,3.6,0.67,10.8,0.68,28.8,0.79,,,,,,
S2H 													,1872.0,1123.0,0.0025,0.005,0.015,0.04,2.81,0.63,5.62,0.63,16.85,0.64,44.93,0.71,,,,,,
S3 													,180.0,135.0,0.004,0.008,0.024,0.07,0.54,0.81,1.08,0.82,3.24,0.91,9.45,0.9,,,,,,
S4L 													,288.0,216.0,0.004,0.008,0.024,0.07,0.86,0.89,1.73,0.89,5.18,0.98,15.12,0.87,,,,,,
S4M 													,720.0,540.0,0.0027,0.0053,0.016,0.0467,1.44,0.77,2.88,0.72,8.64,0.7,25.2,0.89,,,,,,
S4H 													,1872.0,1123.0,0.002,0.004,0.012,0.035,2.25,0.64,4.49,0.66,13.48,0.69,39.31,0.77,,,,,,
S5L 													,,,,,,,,,,,,,,,,,,,,
S5M 													,,,,,,,,,,,,,,,,,,,,
S5H 													,,,,,,,,,,,,,,,,,,,,
C1L 													,240.0,180.0,0.005,0.01,0.03,0.08,0.9,0.81,1.8,0.84,5.4,0.86,14.4,0.81,,,,,,
C1M 													,600.0,450.0,0.0033,0.0067,0.02,0.0533,1.5,0.68,3.0,0.67,9.0,0.68,24.0,0.81,,,,,,
C1H 													,1440.0,864.0,0.0025,0.005,0.015,0.04,2.16,0.66,4.32,0.64,12.96,0.67,34.56,0.78,,,,,,
C2L 													,240.0,180.0,0.004,0.01,0.03,0.08,0.72,0.81,1.8,0.84,5.4,0.93,14.4,0.92,,,,,,
C2M 													,600.0,450.0,0.0027,0.0067,0.02,0.0533,1.2,0.74,3.0,0.77,9.0,0.68,24.0,0.77,,,,,,
C2H 													,1440.0,864.0,0.002,0.005,0.015,0.04,1.73,0.68,4.32,0.65,12.96,0.66,34.56,0.75,,,,,,
C3L 													,,,,,,,,,,,,,,,,,,,,
C3M 													,,,,,,,,,,,,,,,,,,,,
C3H 													,,,,,,,,,,,,,,,,,,,,
PC1 													,180.0,135.0,0.004,0.008,0.024,0.07,0.54,0.76,1.08,0.86,3.24,0.88,9.45,0.99,,,,,,
PC2L 													,240.0,180.0,0.004,0.008,0.024,0.07,0.72,0.84,1.44,0.88,4.32,0.98,12.6,0.94,,,,,,
PC2M 													,600.0,450.0,0.0027,0.0053,0.016,0.0467,1.2,0.77,2.4,0.81,7.2,0.7,21.0,0.82,,,,,,
PC2H 													,1440.0,864.0,0.002,0.004,0.012,0.035,1.73,0.64,3.46,0.66,10.37,0.68,30.24,0.81,,,,,,
RM1L 													,240.0,180.0,0.004,0.008,0.024,0.07,0.72,0.84,1.44,0.86,4.32,0.92,12.6,1.01,,,,,,
RM1M 													,600.0,450.0,0.0027,0.0053,0.016,0.0467,1.2,0.71,2.4,0.81,7.2,0.76,21.0,0.75,,,,,,
RM2L 													,240.0,180.0,0.004,0.008,0.024,0.07,0.72,0.8,1.44,0.81,4.32,0.91,12.6,0.98,,,,,,
RM2M 													,600.0,450.0,0.0027,0.0053,0.016,0.0467,1.2,0.71,2.4,0.79,7.2,0.7,21.0,0.73,,,,,,
RM2H 													,1440.0,864.0,0.002,0.004,0.012,0.035,1.73,0.66,3.46,0.65,10.37,0.66,30.24,0.72,,,,,,
URML 													,,,,,,,,,,,,,,,,,,,,
URMM 													,,,,,,,,,,,,,,,,,,,,
MH 													,120.0,120.0,0.004,0.008,0.024,0.07,0.48,0.91,0.96,1.0,2.88,1.03,8.4,0.92,,,,,,
